,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
13468,Linfield University-Online and Continuing Education,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,104701,110283,103019
13469,Midwest Technical Institute-Illinois,"Private, for-profit",Precision Metal Working.,Undergraduate Certificate or Diploma,38902,38864,41090
13470,Midwest Technical Institute-Illinois,"Private, for-profit",Ground Transportation.,Undergraduate Certificate or Diploma,33923,35215,30533
13471,Midwest Technical Institute-Illinois,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,29441,34939,29428
13472,The College of Health Care Professions-Austin,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,33885,40432,33211
13473,The College of Health Care Professions-Austin,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,39036,44740,36160
13474,Milan Institute-San Antonio Ingram,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,23012,33257,22613
13475,Milan Institute-San Antonio Ingram,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,28930,23286,29608
13476,Milan Institute-San Antonio Ingram,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,22886,28218,21382
13477,Carrington College-San Jose,"Private, for-profit",Veterinary/Animal Health Technologies/Technicians.,Associate's Degree,42788,42801,42877
13478,Carrington College-San Jose,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,41940,47882,33570
13479,Carrington College-San Jose,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,36206,47589,35323
13480,Carrington College-San Jose,"Private, for-profit",Dental Support Services and Allied Professions.,Associate's Degree,70000,91761,68877
13481,Carrington College-San Jose,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,41353,42762,41112
13482,Carrington College-San Jose,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,36574,37557,36247
13483,Carrington College-San Jose,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,71283,72670,71781
13484,Carrington College-San Jose,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Associate's Degree,89259,117214,81444
13485,Stevens-Henager College,"Private, nonprofit",Computer Science.,Bachelor's Degree,59042,64525,40350
13486,Stevens-Henager College,"Private, nonprofit",Allied Health and Medical Assisting Services.,Associate's Degree,32407,47664,31932
13487,Stevens-Henager College,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,69503,76476,65957
13488,Stevens-Henager College,"Private, nonprofit","Business Administration, Management and Operations.",Associate's Degree,34491,45275,32082
13489,Stevens-Henager College,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,42706,57250,33631
13490,Stevens-Henager College,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,71203,94501,56381
13491,Stevens-Henager College,"Private, nonprofit",Accounting and Related Services.,Bachelor's Degree,52969,63596,42457
13492,Brookline College-Tucson,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,35658,41132,33665
13493,Brookline College-Tucson,"Private, for-profit",Criminal Justice and Corrections.,Bachelor's Degree,39701,43405,36980
13494,Brookline College-Tucson,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,30692,38149,29690
13495,Brookline College-Tucson,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,33343,40108,31974
13496,Brookline College-Tucson,"Private, for-profit","Business Administration, Management and Operations.",Associate's Degree,36495,44938,33289
13497,Miller-Motte College-McCann-Lewisburg,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,34449,44971,29729
13498,Miller-Motte College-McCann-Lewisburg,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,27239,34871,27173
13499,Miller-Motte College-McCann-Lewisburg,"Private, for-profit",Health and Medical Administrative Services.,Associate's Degree,29969,32689,29953
13500,Miller-Motte College-McCann-Lewisburg,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,25324,27754,25037
13501,Miller-Motte College-McCann-Lewisburg,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,40968,55960,38247
13502,Miller-Motte College-McCann-Lewisburg,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,23008,28255,22109
13503,Miller-Motte College-McCann-Lewisburg,"Private, for-profit","Business Administration, Management and Operations.",Associate's Degree,28532,30514,27151
13504,Carrington College-Pleasant Hill Campus,"Private, for-profit",Veterinary/Animal Health Technologies/Technicians.,Associate's Degree,42788,42801,42877
13505,Carrington College-Pleasant Hill Campus,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,41940,47882,33570
13506,Carrington College-Pleasant Hill Campus,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,36206,47589,35323
13507,Carrington College-Pleasant Hill Campus,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,41353,42762,41112
13508,Carrington College-Pleasant Hill Campus,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,36574,37557,36247
13509,Carrington College-Pleasant Hill Campus,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,48293,69160,44299
13510,Cortiva Institute,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,25580,23569,25862
13511,Modern Hairstyling Institute-Carolina,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,11479,11241,11461
13512,Stratford University,"Private, for-profit",Culinary Arts and Related Services.,Associate's Degree,34204,35885,34131
13513,Universal Technical Institute of California Inc,"Private, for-profit",Vehicle Maintenance and Repair Technologies.,Undergraduate Certificate or Diploma,54442,54694,43115
13514,Universal Technical Institute of California Inc,"Private, for-profit",Vehicle Maintenance and Repair Technologies.,Associate's Degree,54733,55111,34380
13515,American InterContinental University-Atlanta,"Private, for-profit","Computer and Information Sciences, General.",Bachelor's Degree,65067,65089,63119
13516,American InterContinental University-Atlanta,"Private, for-profit","Computer and Information Sciences, General.",Master's Degree,72662,81637,56683
13517,American InterContinental University-Atlanta,"Private, for-profit",Educational/Instructional Media Design.,Master's Degree,53455,60855,50246
13518,American InterContinental University-Atlanta,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,35447,46230,29679
13519,American InterContinental University-Atlanta,"Private, for-profit",Criminal Justice and Corrections.,Bachelor's Degree,43009,55393,39792
13520,American InterContinental University-Atlanta,"Private, for-profit",Design and Applied Arts.,Bachelor's Degree,32692,38150,22129
13521,American InterContinental University-Atlanta,"Private, for-profit","Business Administration, Management and Operations.",Associate's Degree,36863,44668,33290
13522,American InterContinental University-Atlanta,"Private, for-profit","Business Administration, Management and Operations.",Bachelor's Degree,53144,66453,48151
13523,American InterContinental University-Atlanta,"Private, for-profit","Business Administration, Management and Operations.",Master's Degree,60397,73849,57117
13524,American InterContinental University-Atlanta,"Private, for-profit",Accounting and Related Services.,Bachelor's Degree,48340,49223,48101
13525,Remington College-Little Rock Campus,"Private, nonprofit",Criminal Justice and Corrections.,Associate's Degree,30721,40383,28190
13526,Remington College-Little Rock Campus,"Private, nonprofit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,30741,37657,30499
13527,Remington College-Little Rock Campus,"Private, nonprofit","Business Administration, Management and Operations.",Associate's Degree,31576,35669,30623
13528,Carrington College-Spokane,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,37296,38290,37033
13529,Carrington College-Spokane,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,28461,32433,28362
13530,Johnson & Wales University-Denver,"Private, nonprofit",Culinary Arts and Related Services.,Associate's Degree,36778,40725,34480
13531,Johnson & Wales University-Denver,"Private, nonprofit",Culinary Arts and Related Services.,Bachelor's Degree,39083,43287,37208
13532,Johnson & Wales University-Denver,"Private, nonprofit","Foods, Nutrition, and Related Services.",Bachelor's Degree,41943,44801,40702
13533,Johnson & Wales University-Denver,"Private, nonprofit","Parks, Recreation and Leisure Facilities Management.",Bachelor's Degree,50488,49571,50902
13534,Johnson & Wales University-Denver,"Private, nonprofit",Criminal Justice and Corrections.,Bachelor's Degree,57459,67863,50365
13535,Johnson & Wales University-Denver,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,52954,58312,48426
13536,Johnson & Wales University-Denver,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,71892,72839,72395
13537,Johnson & Wales University-Denver,"Private, nonprofit",Entrepreneurial and Small Business Operations.,Bachelor's Degree,45190,48667,38088
13538,Johnson & Wales University-Denver,"Private, nonprofit",Hospitality Administration/Management.,Bachelor's Degree,46169,53096,42851
13539,Johnson & Wales University-Denver,"Private, nonprofit",Marketing.,Bachelor's Degree,55595,53145,59259
13540,CBD College,"Private, nonprofit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,31422,31984,30442
13541,CBD College,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,43066,32391,43462
13542,Bennett Career Institute,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,23777,22347,24107
