,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
4676,University of Southern Maine,Public,Law.,First Professional Degree,80203,86192,76460
4677,University of Southern Maine,Public,"Business Administration, Management and Operations.",Bachelor's Degree,59240,60975,55468
4678,University of Southern Maine,Public,Marketing.,Bachelor's Degree,55591,61291,54215
4679,Thomas College,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,69007,66137,74965
4680,Unity College,"Private, nonprofit",Wildlife and Wildlands Science and Management.,Bachelor's Degree,33951,32359,35196
4681,Allegany College of Maryland,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,36105,41675,34964
4682,Anne Arundel Community College,Public,Computer/Information Technology Administration and Management.,Associate's Degree,80979,82898,71482
4683,Anne Arundel Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,47947,51273,46503
4684,Anne Arundel Community College,Public,Criminal Justice and Corrections.,Associate's Degree,51807,55376,46544
4685,Anne Arundel Community College,Public,"Business/Commerce, General.",Associate's Degree,63467,68958,58504
4686,Anne Arundel Community College,Public,"Business Administration, Management and Operations.",Undergraduate Certificate or Diploma,56981,64880,54840
4687,Anne Arundel Community College,Public,"Business Administration, Management and Operations.",Associate's Degree,55814,62707,51816
4688,Award Beauty School,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,15710,18278,15185
4689,Baltimore City Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,52847,51848,51851
4690,University of Baltimore,Public,Law.,First Professional Degree,95944,94577,96526
4691,University of Baltimore,Public,"Business/Commerce, General.",Bachelor's Degree,71449,70995,72365
4692,Bowie State University,Public,Audiovisual Communications Technologies/Technicians.,Bachelor's Degree,57453,65538,52674
4693,Bowie State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,59864,61676,58213
4694,Bowie State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,66612,66235,70768
4695,Cecil College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,53044,53819,49688
4696,College of Southern Maryland,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Undergraduate Certificate or Diploma,49873,54231,49819
4697,College of Southern Maryland,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,46413,46327,45930
4698,College of Southern Maryland,Public,"Business/Commerce, General.",Associate's Degree,70298,68517,69674
4699,North American Trade Schools,"Private, for-profit",Ground Transportation.,Undergraduate Certificate or Diploma,52504,53894,47564
4700,Frederick Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,46923,52282,42395
4701,Frederick Community College,Public,"Business/Commerce, General.",Associate's Degree,48633,48448,50941
